Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    0          0          0          0          0.00
structure_refs      1660       67         0          0          0.04
biomes              1660       12998      0          1264       7.83
terrain             1659       5501       1          31         3.32
surface             1655       1440       0          9          0.87
air_carvers         1655       1193       0          20         0.72
fluid_carvers       1655       15         0          0          0.01
decoration          1590       3187       0          295        2.00
mob_spawns          1511       90         0          4          0.06
structure_searches  0          0          0          0          0.00
Sum                                                             14.85
